frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,4.07E-08,1.53E+04,
2.11E+01,3.72E-08,1.53E+04,
2.23E+01,3.41E-08,1.52E+04,
2.35E+01,3.12E-08,1.52E+04,
2.48E+01,2.86E-08,1.52E+04,
2.62E+01,2.62E-08,1.52E+04,
2.77E+01,2.40E-08,1.52E+04,
2.92E+01,2.20E-08,1.51E+04,
3.08E+01,2.02E-08,1.51E+04,
3.26E+01,1.85E-08,1.51E+04,
3.44E+01,1.70E-08,1.51E+04,
3.63E+01,1.56E-08,1.51E+04,
3.83E+01,1.44E-08,1.51E+04,
4.04E+01,1.32E-08,1.50E+04,
4.27E+01,1.21E-08,1.50E+04,
4.50E+01,1.11E-08,1.50E+04,
4.75E+01,1.02E-08,1.50E+04,
5.02E+01,9.42E-09,1.50E+04,
5.30E+01,8.65E-09,1.50E+04,
5.59E+01,7.97E-09,1.49E+04,
5.90E+01,7.40E-09,1.49E+04,
6.23E+01,6.85E-09,1.49E+04,
6.58E+01,6.29E-09,1.49E+04,
6.94E+01,5.80E-09,1.49E+04,
7.33E+01,5.36E-09,1.49E+04,
7.73E+01,4.98E-09,1.49E+04,
8.16E+01,4.64E-09,1.49E+04,
8.62E+01,4.31E-09,1.49E+04,
9.10E+01,4.00E-09,1.49E+04,
9.60E+01,3.74E-09,1.48E+04,
1.01E+02,3.47E-09,1.48E+04,
1.07E+02,3.23E-09,1.48E+04,
1.13E+02,3.02E-09,1.48E+04,
1.19E+02,2.82E-09,1.48E+04,
1.26E+02,2.64E-09,1.48E+04,
1.33E+02,2.48E-09,1.48E+04,
1.40E+02,2.33E-09,1.48E+04,
1.48E+02,2.19E-09,1.48E+04,
1.56E+02,2.06E-09,1.48E+04,
1.65E+02,1.94E-09,1.48E+04,
1.74E+02,1.83E-09,1.48E+04,
1.84E+02,1.73E-09,1.48E+04,
1.94E+02,1.64E-09,1.48E+04,
2.05E+02,1.55E-09,1.47E+04,
2.16E+02,1.47E-09,1.47E+04,
2.28E+02,1.40E-09,1.47E+04,
2.41E+02,1.33E-09,1.47E+04,
2.54E+02,1.27E-09,1.47E+04,
2.68E+02,1.21E-09,1.47E+04,
2.83E+02,1.15E-09,1.47E+04,
2.99E+02,1.10E-09,1.47E+04,
3.16E+02,1.05E-09,1.47E+04,
3.33E+02,1.01E-09,1.47E+04,
3.52E+02,9.70E-10,1.47E+04,
3.71E+02,9.33E-10,1.46E+04,
3.92E+02,8.96E-10,1.46E+04,
