frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,6.67E-06,1.66E+03,
2.11E+01,6.51E-06,1.58E+03,
2.23E+01,6.34E-06,1.51E+03,
2.35E+01,6.17E-06,1.44E+03,
2.48E+01,5.99E-06,1.38E+03,
2.62E+01,5.81E-06,1.32E+03,
2.77E+01,5.64E-06,1.26E+03,
2.92E+01,5.46E-06,1.21E+03,
3.08E+01,5.29E-06,1.16E+03,
3.26E+01,5.12E-06,1.11E+03,
3.44E+01,4.94E-06,1.07E+03,
3.63E+01,4.78E-06,1.02E+03,
3.83E+01,4.61E-06,9.82E+02,
4.04E+01,4.44E-06,9.43E+02,
4.27E+01,4.28E-06,9.06E+02,
4.50E+01,4.11E-06,8.70E+02,
4.75E+01,3.95E-06,8.38E+02,
5.02E+01,3.79E-06,8.06E+02,
5.30E+01,3.64E-06,7.76E+02,
5.59E+01,3.49E-06,7.48E+02,
5.90E+01,3.33E-06,7.21E+02,
6.23E+01,3.19E-06,6.96E+02,
6.58E+01,3.04E-06,6.72E+02,
6.94E+01,2.90E-06,6.50E+02,
7.33E+01,2.76E-06,6.29E+02,
7.73E+01,2.63E-06,6.08E+02,
8.16E+01,2.50E-06,5.89E+02,
8.62E+01,2.37E-06,5.71E+02,
9.10E+01,2.25E-06,5.55E+02,
9.60E+01,2.13E-06,5.39E+02,
1.01E+02,2.01E-06,5.23E+02,
1.07E+02,1.90E-06,5.09E+02,
1.13E+02,1.79E-06,4.96E+02,
1.19E+02,1.69E-06,4.83E+02,
1.26E+02,1.59E-06,4.71E+02,
1.33E+02,1.50E-06,4.60E+02,
1.40E+02,1.41E-06,4.49E+02,
1.48E+02,1.32E-06,4.39E+02,
1.56E+02,1.23E-06,4.30E+02,
1.65E+02,1.15E-06,4.21E+02,
1.74E+02,1.08E-06,4.12E+02,
1.84E+02,1.01E-06,4.05E+02,
1.94E+02,9.39E-07,3.97E+02,
2.05E+02,8.75E-07,3.90E+02,
2.16E+02,8.13E-07,3.84E+02,
2.28E+02,7.56E-07,3.78E+02,
2.41E+02,7.02E-07,3.72E+02,
2.54E+02,6.51E-07,3.66E+02,
2.68E+02,6.03E-07,3.61E+02,
2.83E+02,5.59E-07,3.56E+02,
2.99E+02,5.16E-07,3.52E+02,
3.16E+02,4.77E-07,3.48E+02,
3.33E+02,4.40E-07,3.44E+02,
3.52E+02,4.06E-07,3.40E+02,
3.71E+02,3.74E-07,3.37E+02,
3.92E+02,3.45E-07,3.33E+02,
4.14E+02,3.17E-07,3.30E+02,
4.37E+02,2.92E-07,3.27E+02,
4.61E+02,2.68E-07,3.24E+02,
4.87E+02,2.46E-07,3.22E+02,
5.14E+02,2.25E-07,3.20E+02,
5.42E+02,2.06E-07,3.18E+02,
5.72E+02,1.88E-07,3.16E+02,
6.04E+02,1.72E-07,3.14E+02,
6.38E+02,1.58E-07,3.12E+02,
6.73E+02,1.44E-07,3.11E+02,
7.11E+02,1.32E-07,3.09E+02,
7.50E+02,1.20E-07,3.07E+02,
7.92E+02,1.10E-07,3.06E+02,
8.36E+02,1.00E-07,3.05E+02,
8.82E+02,9.15E-08,3.03E+02,
9.32E+02,8.33E-08,3.02E+02,
9.83E+02,7.58E-08,3.01E+02,
1.04E+03,6.92E-08,3.00E+02,
1.10E+03,6.30E-08,2.99E+02,
1.16E+03,5.74E-08,2.98E+02,
1.22E+03,5.22E-08,2.97E+02,
1.29E+03,4.75E-08,2.96E+02,
1.36E+03,4.32E-08,2.96E+02,
1.44E+03,3.92E-08,2.95E+02,
1.52E+03,3.56E-08,2.95E+02,
1.60E+03,3.23E-08,2.94E+02,
1.69E+03,2.93E-08,2.94E+02,
1.78E+03,2.66E-08,2.93E+02,
1.88E+03,2.42E-08,2.93E+02,
1.99E+03,2.20E-08,2.92E+02,
2.10E+03,1.99E-08,2.92E+02,
2.21E+03,1.80E-08,2.92E+02,
2.34E+03,1.64E-08,2.92E+02,
2.47E+03,1.49E-08,2.91E+02,
2.60E+03,1.35E-08,2.91E+02,
2.75E+03,1.22E-08,2.91E+02,
2.90E+03,1.11E-08,2.90E+02,
3.06E+03,1.00E-08,2.90E+02,
3.23E+03,9.09E-09,2.90E+02,
3.41E+03,8.24E-09,2.90E+02,
3.60E+03,7.47E-09,2.90E+02,
3.80E+03,6.77E-09,2.90E+02,
4.01E+03,6.14E-09,2.89E+02,
4.24E+03,5.56E-09,2.89E+02,
4.47E+03,5.05E-09,2.89E+02,
4.72E+03,4.58E-09,2.89E+02,
4.98E+03,4.15E-09,2.89E+02,
5.26E+03,3.76E-09,2.89E+02,
5.55E+03,3.42E-09,2.88E+02,
5.86E+03,3.09E-09,2.89E+02,
6.19E+03,2.81E-09,2.88E+02,
6.53E+03,2.54E-09,2.89E+02,
6.89E+03,2.31E-09,2.89E+02,
7.28E+03,2.09E-09,2.89E+02,
7.68E+03,1.90E-09,2.88E+02,
8.11E+03,1.73E-09,2.88E+02,
8.56E+03,1.57E-09,2.88E+02,
9.04E+03,1.43E-09,2.88E+02,
9.54E+03,1.30E-09,2.88E+02,
1.01E+04,1.18E-09,2.88E+02,
1.06E+04,1.07E-09,2.88E+02,
1.12E+04,9.76E-10,2.88E+02,
1.18E+04,8.91E-10,2.88E+02,
