frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,9.19E+02,-5.04E+01,
2.11E+01,8.91E+02,-4.97E+01,
2.23E+01,8.65E+02,-4.90E+01,
2.35E+01,8.40E+02,-4.84E+01,
2.48E+01,8.17E+02,-4.77E+01,
2.62E+01,7.96E+02,-4.71E+01,
2.77E+01,7.75E+02,-4.64E+01,
2.92E+01,7.54E+02,-4.57E+01,
3.08E+01,7.36E+02,-4.50E+01,
3.26E+01,7.17E+02,-4.42E+01,
3.44E+01,7.00E+02,-4.35E+01,
3.63E+01,6.83E+02,-4.28E+01,
3.83E+01,6.67E+02,-4.21E+01,
4.04E+01,6.51E+02,-4.14E+01,
4.27E+01,6.36E+02,-4.07E+01,
4.50E+01,6.22E+02,-3.99E+01,
4.75E+01,6.08E+02,-3.92E+01,
5.02E+01,5.95E+02,-3.84E+01,
5.30E+01,5.83E+02,-3.76E+01,
5.59E+01,5.71E+02,-3.68E+01,
5.90E+01,5.59E+02,-3.61E+01,
6.23E+01,5.49E+02,-3.53E+01,
6.58E+01,5.39E+02,-3.45E+01,
6.94E+01,5.30E+02,-3.37E+01,
7.33E+01,5.21E+02,-3.28E+01,
7.73E+01,5.12E+02,-3.21E+01,
8.16E+01,5.04E+02,-3.12E+01,
8.62E+01,4.96E+02,-3.05E+01,
9.10E+01,4.87E+02,-2.97E+01,
9.60E+01,4.80E+02,-2.89E+01,
1.01E+02,4.74E+02,-2.81E+01,
1.07E+02,4.70E+02,-2.72E+01,
1.13E+02,4.64E+02,-2.64E+01,
1.19E+02,4.59E+02,-2.56E+01,
1.26E+02,4.53E+02,-2.49E+01,
1.33E+02,4.50E+02,-2.40E+01,
1.40E+02,4.45E+02,-2.33E+01,
1.48E+02,4.40E+02,-2.26E+01,
1.56E+02,4.34E+02,-2.19E+01,
1.65E+02,4.32E+02,-2.11E+01,
1.74E+02,4.27E+02,-2.05E+01,
1.84E+02,4.20E+02,-2.00E+01,
1.94E+02,4.17E+02,-1.93E+01,
2.05E+02,4.14E+02,-1.86E+01,
2.16E+02,4.08E+02,-1.81E+01,
2.28E+02,4.07E+02,-1.74E+01,
2.41E+02,4.02E+02,-1.68E+01,
2.54E+02,3.98E+02,-1.63E+01,
2.68E+02,3.97E+02,-1.57E+01,
2.83E+02,4.00E+02,-1.49E+01,
2.99E+02,3.96E+02,-1.44E+01,
3.16E+02,3.95E+02,-1.39E+01,
3.33E+02,3.91E+02,-1.34E+01,
3.52E+02,3.86E+02,-1.30E+01,
3.71E+02,3.82E+02,-1.26E+01,
3.92E+02,3.80E+02,-1.21E+01,
4.14E+02,3.79E+02,-1.16E+01,
4.37E+02,3.76E+02,-1.12E+01,
4.61E+02,3.77E+02,-1.07E+01,
4.87E+02,3.75E+02,-1.03E+01,
5.14E+02,3.81E+02,-9.71E+00,
5.42E+02,3.77E+02,-9.39E+00,
5.72E+02,3.78E+02,-8.95E+00,
6.04E+02,3.76E+02,-8.62E+00,
6.38E+02,3.77E+02,-8.22E+00,
6.73E+02,3.74E+02,-7.93E+00,
7.11E+02,3.75E+02,-7.58E+00,
7.50E+02,3.69E+02,-7.35E+00,
7.92E+02,3.66E+02,-7.11E+00,
8.36E+02,3.61E+02,-6.89E+00,
8.82E+02,3.58E+02,-6.65E+00,
9.32E+02,3.55E+02,-6.41E+00,
9.83E+02,3.56E+02,-6.10E+00,
1.04E+03,3.56E+02,-5.84E+00,
1.10E+03,3.54E+02,-5.61E+00,
1.16E+03,3.52E+02,-5.39E+00,
1.22E+03,3.53E+02,-5.15E+00,
1.29E+03,3.52E+02,-4.93E+00,
1.36E+03,3.52E+02,-4.73E+00,
1.44E+03,3.51E+02,-4.53E+00,
1.52E+03,3.49E+02,-4.35E+00,
1.60E+03,3.49E+02,-4.16E+00,
1.69E+03,3.50E+02,-3.97E+00,
1.78E+03,3.49E+02,-3.81E+00,
1.88E+03,3.51E+02,-3.61E+00,
1.99E+03,3.47E+02,-3.50E+00,
2.10E+03,3.50E+02,-3.32E+00,
2.21E+03,3.50E+02,-3.18E+00,
2.34E+03,3.49E+02,-3.04E+00,
2.47E+03,3.45E+02,-2.94E+00,
2.60E+03,3.42E+02,-2.84E+00,
2.75E+03,3.43E+02,-2.71E+00,
2.90E+03,3.42E+02,-2.60E+00,
3.06E+03,3.41E+02,-2.49E+00,
3.23E+03,3.41E+02,-2.38E+00,
3.41E+03,3.42E+02,-2.28E+00,
3.60E+03,3.43E+02,-2.17E+00,
3.80E+03,3.44E+02,-2.08E+00,
4.01E+03,3.43E+02,-1.99E+00,
4.24E+03,3.43E+02,-1.91E+00,
4.47E+03,3.39E+02,-1.84E+00,
4.72E+03,3.42E+02,-1.75E+00,
4.98E+03,3.42E+02,-1.68E+00,
5.26E+03,3.42E+02,-1.61E+00,
5.55E+03,3.43E+02,-1.55E+00,
5.86E+03,3.45E+02,-1.48E+00,
6.19E+03,3.40E+02,-1.43E+00,
6.53E+03,3.39E+02,-1.38E+00,
6.89E+03,3.38E+02,-1.33E+00,
7.28E+03,3.38E+02,-1.28E+00,
7.68E+03,3.38E+02,-1.23E+00,
8.11E+03,3.33E+02,-1.20E+00,
8.56E+03,3.35E+02,-1.15E+00,
9.04E+03,3.34E+02,-1.11E+00,
9.54E+03,3.33E+02,-1.08E+00,
1.01E+04,3.32E+02,-1.04E+00,
1.06E+04,3.32E+02,-1.01E+00,
1.12E+04,3.31E+02,-9.79E-01,
1.18E+04,3.30E+02,-9.50E-01,
1.25E+04,3.30E+02,-9.22E-01,
1.32E+04,3.30E+02,-8.96E-01,
1.39E+04,3.30E+02,-8.73E-01,
1.47E+04,3.31E+02,-8.50E-01,
1.55E+04,3.30E+02,-8.30E-01,
1.64E+04,3.30E+02,-8.12E-01,
1.73E+04,3.30E+02,-7.95E-01,
1.83E+04,3.29E+02,-7.80E-01,
1.93E+04,3.28E+02,-7.67E-01,
2.03E+04,3.27E+02,-7.55E-01,
2.15E+04,3.26E+02,-7.45E-01,
2.27E+04,3.24E+02,-7.35E-01,
2.39E+04,3.23E+02,-7.27E-01,
2.53E+04,3.23E+02,-7.21E-01,
2.67E+04,3.23E+02,-7.17E-01,
2.81E+04,3.24E+02,-7.15E-01,
2.97E+04,3.24E+02,-7.14E-01,
3.14E+04,3.24E+02,-7.15E-01,
3.31E+04,3.23E+02,-7.16E-01,
3.49E+04,3.23E+02,-7.19E-01,
3.69E+04,3.22E+02,-7.24E-01,
3.89E+04,3.21E+02,-7.28E-01,
4.11E+04,3.21E+02,-7.35E-01,
4.34E+04,3.19E+02,-7.41E-01,
4.58E+04,3.18E+02,-7.48E-01,
