frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,9.19E+02,-5.31E+01,
2.11E+01,8.88E+02,-5.26E+01,
2.23E+01,8.58E+02,-5.21E+01,
2.35E+01,8.30E+02,-5.16E+01,
2.48E+01,8.05E+02,-5.10E+01,
2.62E+01,7.80E+02,-5.05E+01,
2.77E+01,7.57E+02,-4.99E+01,
2.92E+01,7.34E+02,-4.94E+01,
3.08E+01,7.13E+02,-4.87E+01,
3.26E+01,6.92E+02,-4.81E+01,
3.44E+01,6.73E+02,-4.75E+01,
3.63E+01,6.55E+02,-4.69E+01,
3.83E+01,6.37E+02,-4.62E+01,
4.04E+01,6.20E+02,-4.56E+01,
4.27E+01,6.04E+02,-4.49E+01,
4.50E+01,5.88E+02,-4.42E+01,
4.75E+01,5.73E+02,-4.35E+01,
5.02E+01,5.59E+02,-4.28E+01,
5.30E+01,5.45E+02,-4.21E+01,
5.59E+01,5.32E+02,-4.14E+01,
5.90E+01,5.20E+02,-4.06E+01,
6.23E+01,5.07E+02,-3.99E+01,
6.58E+01,4.96E+02,-3.92E+01,
6.94E+01,4.86E+02,-3.84E+01,
7.33E+01,4.75E+02,-3.76E+01,
7.73E+01,4.66E+02,-3.68E+01,
8.16E+01,4.56E+02,-3.60E+01,
8.62E+01,4.47E+02,-3.53E+01,
9.10E+01,4.38E+02,-3.45E+01,
9.60E+01,4.30E+02,-3.37E+01,
1.01E+02,4.22E+02,-3.29E+01,
1.07E+02,4.15E+02,-3.21E+01,
1.13E+02,4.08E+02,-3.13E+01,
1.19E+02,4.01E+02,-3.05E+01,
1.26E+02,3.94E+02,-2.98E+01,
1.33E+02,3.88E+02,-2.90E+01,
1.40E+02,3.83E+02,-2.82E+01,
1.48E+02,3.77E+02,-2.74E+01,
1.56E+02,3.71E+02,-2.67E+01,
1.65E+02,3.67E+02,-2.59E+01,
1.74E+02,3.63E+02,-2.51E+01,
1.84E+02,3.57E+02,-2.44E+01,
1.94E+02,3.53E+02,-2.37E+01,
2.05E+02,3.50E+02,-2.29E+01,
2.16E+02,3.45E+02,-2.22E+01,
2.28E+02,3.42E+02,-2.15E+01,
2.41E+02,3.38E+02,-2.08E+01,
2.54E+02,3.34E+02,-2.02E+01,
2.68E+02,3.31E+02,-1.95E+01,
2.83E+02,3.29E+02,-1.88E+01,
2.99E+02,3.25E+02,-1.82E+01,
3.16E+02,3.23E+02,-1.76E+01,
3.33E+02,3.21E+02,-1.69E+01,
3.52E+02,3.18E+02,-1.64E+01,
3.71E+02,3.15E+02,-1.58E+01,
3.92E+02,3.13E+02,-1.52E+01,
4.14E+02,3.11E+02,-1.47E+01,
4.37E+02,3.09E+02,-1.42E+01,
4.61E+02,3.08E+02,-1.36E+01,
4.87E+02,3.06E+02,-1.31E+01,
5.14E+02,3.06E+02,-1.25E+01,
5.42E+02,3.04E+02,-1.21E+01,
5.72E+02,3.03E+02,-1.16E+01,
6.04E+02,3.01E+02,-1.12E+01,
6.38E+02,3.01E+02,-1.07E+01,
6.73E+02,2.99E+02,-1.03E+01,
7.11E+02,2.98E+02,-9.89E+00,
7.50E+02,2.96E+02,-9.52E+00,
7.92E+02,2.95E+02,-9.13E+00,
8.36E+02,2.96E+02,-8.72E+00,
