frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,1.01E-06,1.42E-02,
2.11E+01,1.01E-06,1.43E-02,
2.23E+01,1.01E-06,1.43E-02,
2.35E+01,1.01E-06,1.43E-02,
2.48E+01,1.01E-06,1.44E-02,
2.62E+01,1.01E-06,1.45E-02,
2.77E+01,1.01E-06,1.46E-02,
2.92E+01,1.01E-06,1.47E-02,
3.08E+01,1.01E-06,1.48E-02,
3.26E+01,1.01E-06,1.49E-02,
3.44E+01,1.01E-06,1.50E-02,
3.63E+01,1.01E-06,1.52E-02,
3.83E+01,1.01E-06,1.53E-02,
4.04E+01,1.01E-06,1.55E-02,
4.27E+01,1.01E-06,1.55E-02,
4.50E+01,1.01E-06,1.57E-02,
4.75E+01,1.01E-06,1.58E-02,
5.02E+01,1.01E-06,1.60E-02,
5.30E+01,1.01E-06,1.62E-02,
5.59E+01,1.01E-06,1.64E-02,
5.90E+01,1.00E-06,1.68E-02,
6.23E+01,1.00E-06,1.70E-02,
6.58E+01,1.00E-06,1.72E-02,
6.94E+01,1.00E-06,1.74E-02,
7.33E+01,1.00E-06,1.76E-02,
7.73E+01,1.00E-06,1.79E-02,
8.16E+01,1.00E-06,1.81E-02,
8.62E+01,1.00E-06,1.85E-02,
9.10E+01,1.00E-06,1.88E-02,
9.60E+01,1.00E-06,1.92E-02,
1.01E+02,1.00E-06,1.96E-02,
1.07E+02,9.99E-07,1.99E-02,
1.13E+02,9.99E-07,2.03E-02,
1.19E+02,9.98E-07,2.08E-02,
1.26E+02,9.98E-07,2.11E-02,
1.33E+02,9.97E-07,2.16E-02,
1.40E+02,9.97E-07,2.21E-02,
1.48E+02,9.96E-07,2.26E-02,
1.56E+02,9.96E-07,2.31E-02,
1.65E+02,9.95E-07,2.37E-02,
1.74E+02,9.94E-07,2.43E-02,
1.84E+02,9.94E-07,2.49E-02,
1.94E+02,9.93E-07,2.56E-02,
2.05E+02,9.92E-07,2.62E-02,
2.16E+02,9.92E-07,2.69E-02,
2.28E+02,9.91E-07,2.77E-02,
2.41E+02,9.90E-07,2.84E-02,
2.54E+02,9.90E-07,2.92E-02,
2.68E+02,9.89E-07,3.00E-02,
2.83E+02,9.88E-07,3.09E-02,
2.99E+02,9.87E-07,3.17E-02,
3.16E+02,9.86E-07,3.26E-02,
3.33E+02,9.85E-07,3.36E-02,
3.52E+02,9.84E-07,3.45E-02,
3.71E+02,9.83E-07,3.55E-02,
3.92E+02,9.82E-07,3.65E-02,
4.14E+02,9.81E-07,3.76E-02,
4.37E+02,9.80E-07,3.87E-02,
4.61E+02,9.79E-07,3.98E-02,
4.87E+02,9.78E-07,4.09E-02,
5.14E+02,9.77E-07,4.21E-02,
5.42E+02,9.75E-07,4.33E-02,
5.72E+02,9.74E-07,4.46E-02,
6.04E+02,9.73E-07,4.58E-02,
6.38E+02,9.71E-07,4.71E-02,
6.73E+02,9.70E-07,4.84E-02,
7.11E+02,9.68E-07,4.97E-02,
7.50E+02,9.67E-07,5.11E-02,
7.92E+02,9.65E-07,5.25E-02,
8.36E+02,9.63E-07,5.39E-02,
8.82E+02,9.62E-07,5.52E-02,
9.32E+02,9.60E-07,5.67E-02,
9.83E+02,9.58E-07,5.81E-02,
1.04E+03,9.56E-07,5.96E-02,
1.10E+03,9.54E-07,6.10E-02,
1.16E+03,9.52E-07,6.25E-02,
1.22E+03,9.50E-07,6.39E-02,
1.29E+03,9.48E-07,6.54E-02,
1.36E+03,9.46E-07,6.68E-02,
1.44E+03,9.44E-07,6.83E-02,
1.52E+03,9.41E-07,6.97E-02,
1.60E+03,9.39E-07,7.12E-02,
1.69E+03,9.37E-07,7.27E-02,
1.78E+03,9.34E-07,7.42E-02,
1.88E+03,9.32E-07,7.57E-02,
1.99E+03,9.29E-07,7.72E-02,
2.10E+03,9.27E-07,7.86E-02,
2.21E+03,9.24E-07,8.01E-02,
2.34E+03,9.22E-07,8.16E-02,
2.47E+03,9.19E-07,8.32E-02,
2.60E+03,9.17E-07,8.47E-02,
2.75E+03,9.14E-07,8.62E-02,
2.90E+03,9.11E-07,8.77E-02,
3.06E+03,9.09E-07,8.93E-02,
3.23E+03,9.06E-07,9.09E-02,
3.41E+03,9.03E-07,9.24E-02,
3.60E+03,9.00E-07,9.40E-02,
3.80E+03,8.98E-07,9.56E-02,
4.01E+03,8.95E-07,9.72E-02,
4.24E+03,8.92E-07,9.88E-02,
4.47E+03,8.89E-07,1.00E-01,
4.72E+03,8.86E-07,1.02E-01,
4.98E+03,8.84E-07,1.04E-01,
5.26E+03,8.81E-07,1.05E-01,
5.55E+03,8.78E-07,1.07E-01,
5.86E+03,8.75E-07,1.09E-01,
6.19E+03,8.73E-07,1.11E-01,
6.53E+03,8.70E-07,1.13E-01,
6.89E+03,8.67E-07,1.15E-01,
7.28E+03,8.64E-07,1.17E-01,
7.68E+03,8.62E-07,1.19E-01,
8.11E+03,8.59E-07,1.22E-01,
8.56E+03,8.56E-07,1.24E-01,
9.04E+03,8.53E-07,1.27E-01,
9.54E+03,8.51E-07,1.30E-01,
1.01E+04,8.48E-07,1.32E-01,
1.06E+04,8.45E-07,1.36E-01,
1.12E+04,8.42E-07,1.39E-01,
1.18E+04,8.40E-07,1.42E-01,
1.25E+04,8.37E-07,1.46E-01,
1.32E+04,8.34E-07,1.50E-01,
1.39E+04,8.31E-07,1.54E-01,
1.47E+04,8.28E-07,1.58E-01,
1.55E+04,8.25E-07,1.63E-01,
1.64E+04,8.22E-07,1.68E-01,
1.73E+04,8.19E-07,1.73E-01,
