frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,5.51E-06,1.01E+03,
2.11E+01,5.62E-06,9.85E+02,
2.23E+01,5.60E-06,9.61E+02,
2.35E+01,5.50E-06,9.37E+02,
2.48E+01,5.34E-06,9.15E+02,
2.62E+01,5.18E-06,8.92E+02,
2.77E+01,5.00E-06,8.71E+02,
2.92E+01,4.82E-06,8.51E+02,
3.08E+01,4.64E-06,8.32E+02,
3.26E+01,4.46E-06,8.12E+02,
3.44E+01,4.30E-06,7.93E+02,
3.63E+01,4.12E-06,7.75E+02,
3.83E+01,3.95E-06,7.58E+02,
4.04E+01,3.78E-06,7.40E+02,
4.27E+01,3.62E-06,7.24E+02,
4.50E+01,3.46E-06,7.07E+02,
4.75E+01,3.30E-06,6.91E+02,
5.02E+01,3.15E-06,6.76E+02,
5.30E+01,3.00E-06,6.61E+02,
5.59E+01,2.86E-06,6.47E+02,
5.90E+01,2.72E-06,6.33E+02,
6.23E+01,2.58E-06,6.20E+02,
6.58E+01,2.45E-06,6.07E+02,
6.94E+01,2.33E-06,5.94E+02,
7.33E+01,2.21E-06,5.82E+02,
7.73E+01,2.09E-06,5.70E+02,
8.16E+01,1.98E-06,5.58E+02,
8.62E+01,1.87E-06,5.47E+02,
9.10E+01,1.76E-06,5.37E+02,
9.60E+01,1.66E-06,5.27E+02,
1.01E+02,1.56E-06,5.17E+02,
1.07E+02,1.47E-06,5.07E+02,
1.13E+02,1.38E-06,4.98E+02,
1.19E+02,1.30E-06,4.89E+02,
1.26E+02,1.22E-06,4.81E+02,
1.33E+02,1.14E-06,4.73E+02,
1.40E+02,1.07E-06,4.65E+02,
1.48E+02,9.99E-07,4.58E+02,
1.56E+02,9.32E-07,4.51E+02,
1.65E+02,8.70E-07,4.44E+02,
1.74E+02,8.10E-07,4.38E+02,
1.84E+02,7.53E-07,4.32E+02,
1.94E+02,7.00E-07,4.26E+02,
2.05E+02,6.50E-07,4.21E+02,
2.16E+02,6.03E-07,4.15E+02,
2.28E+02,5.58E-07,4.11E+02,
2.41E+02,5.16E-07,4.06E+02,
2.54E+02,4.77E-07,4.02E+02,
2.68E+02,4.41E-07,3.98E+02,
2.83E+02,4.06E-07,3.94E+02,
2.99E+02,3.73E-07,3.90E+02,
3.16E+02,3.43E-07,3.87E+02,
3.33E+02,3.16E-07,3.83E+02,
3.52E+02,2.90E-07,3.80E+02,
3.71E+02,2.67E-07,3.78E+02,
3.92E+02,2.45E-07,3.75E+02,
4.14E+02,2.24E-07,3.73E+02,
4.37E+02,2.06E-07,3.70E+02,
4.61E+02,1.88E-07,3.68E+02,
4.87E+02,1.72E-07,3.66E+02,
5.14E+02,1.58E-07,3.64E+02,
5.42E+02,1.44E-07,3.62E+02,
5.72E+02,1.32E-07,3.61E+02,
6.04E+02,1.21E-07,3.59E+02,
6.38E+02,1.10E-07,3.58E+02,
6.73E+02,1.00E-07,3.56E+02,
7.11E+02,9.15E-08,3.55E+02,
7.50E+02,8.34E-08,3.54E+02,
7.92E+02,7.59E-08,3.53E+02,
8.36E+02,6.91E-08,3.52E+02,
8.82E+02,6.29E-08,3.51E+02,
9.32E+02,5.72E-08,3.50E+02,
9.83E+02,5.21E-08,3.49E+02,
1.04E+03,4.73E-08,3.49E+02,
1.10E+03,4.30E-08,3.48E+02,
1.16E+03,3.91E-08,3.47E+02,
1.22E+03,3.55E-08,3.47E+02,
1.29E+03,3.22E-08,3.46E+02,
1.36E+03,2.93E-08,3.46E+02,
1.44E+03,2.65E-08,3.45E+02,
1.52E+03,2.41E-08,3.45E+02,
1.60E+03,2.19E-08,3.44E+02,
1.69E+03,1.98E-08,3.44E+02,
1.78E+03,1.80E-08,3.44E+02,
1.88E+03,1.63E-08,3.43E+02,
1.99E+03,1.48E-08,3.43E+02,
2.10E+03,1.34E-08,3.43E+02,
2.21E+03,1.22E-08,3.43E+02,
2.34E+03,1.10E-08,3.42E+02,
2.47E+03,9.99E-09,3.42E+02,
2.60E+03,9.05E-09,3.42E+02,
2.75E+03,8.20E-09,3.42E+02,
2.90E+03,7.43E-09,3.42E+02,
3.06E+03,6.73E-09,3.42E+02,
3.23E+03,6.10E-09,3.41E+02,
