frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,5.43E-06,1.20E+03,
2.11E+01,5.28E-06,1.17E+03,
2.23E+01,5.08E-06,1.14E+03,
2.35E+01,4.89E-06,1.11E+03,
2.48E+01,4.71E-06,1.08E+03,
2.62E+01,4.51E-06,1.06E+03,
2.77E+01,4.33E-06,1.03E+03,
2.92E+01,4.15E-06,1.00E+03,
3.08E+01,3.97E-06,9.76E+02,
3.26E+01,3.79E-06,9.52E+02,
3.44E+01,3.64E-06,9.27E+02,
3.63E+01,3.47E-06,9.05E+02,
3.83E+01,3.30E-06,8.84E+02,
4.04E+01,3.14E-06,8.63E+02,
4.27E+01,2.98E-06,8.44E+02,
4.50E+01,2.83E-06,8.25E+02,
4.75E+01,2.68E-06,8.07E+02,
5.02E+01,2.53E-06,7.91E+02,
5.30E+01,2.39E-06,7.75E+02,
5.59E+01,2.26E-06,7.60E+02,
5.90E+01,2.13E-06,7.46E+02,
6.23E+01,2.00E-06,7.32E+02,
6.58E+01,1.88E-06,7.19E+02,
6.94E+01,1.78E-06,7.05E+02,
7.33E+01,1.67E-06,6.92E+02,
7.73E+01,1.58E-06,6.80E+02,
8.16E+01,1.09E-06,7.82E+02,
8.62E+01,1.03E-06,7.68E+02,
9.10E+01,9.69E-07,7.55E+02,
9.60E+01,9.10E-07,7.44E+02,
1.01E+02,8.53E-07,7.33E+02,
1.07E+02,8.00E-07,7.22E+02,
1.13E+02,7.50E-07,7.12E+02,
1.19E+02,7.02E-07,7.03E+02,
1.26E+02,6.55E-07,6.94E+02,
1.33E+02,6.13E-07,6.86E+02,
1.40E+02,5.73E-07,6.77E+02,
1.48E+02,5.36E-07,6.69E+02,
1.56E+02,5.05E-07,6.56E+02,
1.65E+02,4.71E-07,6.50E+02,
1.74E+02,4.39E-07,6.43E+02,
1.84E+02,4.09E-07,6.36E+02,
1.94E+02,3.81E-07,6.30E+02,
2.05E+02,3.55E-07,6.23E+02,
2.16E+02,3.30E-07,6.17E+02,
2.28E+02,3.07E-07,6.11E+02,
2.41E+02,2.86E-07,6.06E+02,
2.54E+02,2.65E-07,6.01E+02,
2.68E+02,2.47E-07,5.96E+02,
2.83E+02,2.28E-07,5.92E+02,
2.99E+02,2.12E-07,5.87E+02,
3.16E+02,1.97E-07,5.83E+02,
3.33E+02,1.83E-07,5.79E+02,
3.52E+02,1.69E-07,5.75E+02,
3.71E+02,1.57E-07,5.71E+02,
3.92E+02,1.45E-07,5.67E+02,
4.14E+02,1.35E-07,5.64E+02,
4.37E+02,1.25E-07,5.60E+02,
4.61E+02,1.16E-07,5.57E+02,
4.87E+02,1.07E-07,5.54E+02,
5.14E+02,9.94E-08,5.52E+02,
5.42E+02,9.20E-08,5.49E+02,
5.72E+02,8.51E-08,5.47E+02,
6.04E+02,7.88E-08,5.45E+02,
6.38E+02,7.30E-08,5.42E+02,
6.73E+02,6.76E-08,5.39E+02,
7.11E+02,6.26E-08,5.38E+02,
7.50E+02,5.80E-08,5.36E+02,
7.92E+02,5.37E-08,5.33E+02,
8.36E+02,4.98E-08,5.31E+02,
8.82E+02,4.61E-08,5.30E+02,
9.32E+02,4.28E-08,5.27E+02,
9.83E+02,3.96E-08,5.26E+02,
1.04E+03,3.68E-08,5.24E+02,
1.10E+03,3.41E-08,5.23E+02,
1.16E+03,3.17E-08,5.21E+02,
1.22E+03,2.94E-08,5.19E+02,
1.29E+03,2.73E-08,5.18E+02,
1.36E+03,2.54E-08,5.16E+02,
1.44E+03,2.36E-08,5.15E+02,
1.52E+03,2.19E-08,5.13E+02,
1.60E+03,2.04E-08,5.12E+02,
1.69E+03,1.90E-08,5.11E+02,
1.78E+03,1.77E-08,5.09E+02,
1.88E+03,1.65E-08,5.08E+02,
1.99E+03,1.53E-08,5.06E+02,
2.10E+03,1.43E-08,5.06E+02,
2.21E+03,1.33E-08,5.04E+02,
2.34E+03,1.24E-08,5.03E+02,
2.47E+03,1.16E-08,5.03E+02,
2.60E+03,1.08E-08,5.01E+02,
2.75E+03,1.01E-08,5.00E+02,
2.90E+03,9.47E-09,5.00E+02,
3.06E+03,8.86E-09,4.98E+02,
3.23E+03,8.29E-09,4.97E+02,
3.41E+03,7.77E-09,4.96E+02,
3.60E+03,7.27E-09,4.95E+02,
3.80E+03,6.82E-09,4.94E+02,
4.01E+03,6.39E-09,4.93E+02,
4.24E+03,6.00E-09,4.92E+02,
4.47E+03,5.63E-09,4.91E+02,
4.72E+03,5.29E-09,4.90E+02,
4.98E+03,4.97E-09,4.89E+02,
5.26E+03,4.68E-09,4.88E+02,
5.55E+03,4.40E-09,4.87E+02,
5.86E+03,4.13E-09,4.86E+02,
6.19E+03,3.89E-09,4.86E+02,
6.53E+03,3.67E-09,4.85E+02,
6.89E+03,3.46E-09,4.84E+02,
7.28E+03,3.26E-09,4.83E+02,
7.68E+03,3.08E-09,4.82E+02,
8.11E+03,2.91E-09,4.82E+02,
8.56E+03,2.75E-09,4.81E+02,
9.04E+03,2.59E-09,4.80E+02,
9.54E+03,2.46E-09,4.80E+02,
1.01E+04,2.32E-09,4.79E+02,
