frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,4.52E-06,1.09E+03,
2.11E+01,4.33E-06,1.07E+03,
2.23E+01,4.15E-06,1.05E+03,
2.35E+01,3.98E-06,1.03E+03,
2.48E+01,3.82E-06,1.01E+03,
2.62E+01,3.65E-06,9.90E+02,
2.77E+01,3.48E-06,9.70E+02,
2.92E+01,3.33E-06,9.50E+02,
3.08E+01,3.17E-06,9.31E+02,
3.26E+01,3.02E-06,9.12E+02,
3.44E+01,2.86E-06,8.94E+02,
3.63E+01,2.72E-06,8.78E+02,
3.83E+01,2.58E-06,8.61E+02,
4.04E+01,2.45E-06,8.44E+02,
4.27E+01,2.32E-06,8.29E+02,
4.50E+01,2.20E-06,8.14E+02,
4.75E+01,2.08E-06,7.99E+02,
5.02E+01,1.96E-06,7.86E+02,
5.30E+01,1.86E-06,7.72E+02,
5.59E+01,1.75E-06,7.60E+02,
5.90E+01,1.65E-06,7.47E+02,
6.23E+01,1.55E-06,7.35E+02,
6.58E+01,1.46E-06,7.24E+02,
6.94E+01,1.38E-06,7.13E+02,
7.33E+01,1.29E-06,7.03E+02,
7.73E+01,1.21E-06,6.93E+02,
8.16E+01,1.14E-06,6.83E+02,
8.62E+01,1.07E-06,6.73E+02,
9.10E+01,9.98E-07,6.64E+02,
9.60E+01,9.33E-07,6.56E+02,
1.01E+02,8.72E-07,6.48E+02,
1.07E+02,8.14E-07,6.40E+02,
1.13E+02,7.59E-07,6.32E+02,
1.19E+02,7.07E-07,6.25E+02,
1.26E+02,6.58E-07,6.18E+02,
1.33E+02,6.14E-07,6.11E+02,
1.40E+02,5.71E-07,6.05E+02,
1.48E+02,5.31E-07,5.99E+02,
1.56E+02,4.92E-07,5.93E+02,
1.65E+02,4.57E-07,5.88E+02,
1.74E+02,4.23E-07,5.82E+02,
1.84E+02,3.92E-07,5.77E+02,
1.94E+02,3.62E-07,5.73E+02,
2.05E+02,3.35E-07,5.68E+02,
2.16E+02,3.09E-07,5.64E+02,
2.28E+02,2.86E-07,5.60E+02,
2.41E+02,2.64E-07,5.55E+02,
2.54E+02,2.43E-07,5.52E+02,
2.68E+02,2.24E-07,5.48E+02,
2.83E+02,2.07E-07,5.45E+02,
2.99E+02,1.90E-07,5.41E+02,
3.16E+02,1.75E-07,5.38E+02,
3.33E+02,1.61E-07,5.35E+02,
3.52E+02,1.47E-07,5.33E+02,
3.71E+02,1.35E-07,5.30E+02,
3.92E+02,1.24E-07,5.28E+02,
4.14E+02,1.14E-07,5.25E+02,
4.37E+02,1.04E-07,5.23E+02,
4.61E+02,9.52E-08,5.21E+02,
4.87E+02,8.71E-08,5.19E+02,
5.14E+02,7.97E-08,5.17E+02,
5.42E+02,7.29E-08,5.15E+02,
5.72E+02,6.66E-08,5.13E+02,
6.04E+02,6.08E-08,5.12E+02,
6.38E+02,5.56E-08,5.10E+02,
6.73E+02,5.07E-08,5.09E+02,
7.11E+02,4.62E-08,5.08E+02,
7.50E+02,4.21E-08,5.07E+02,
