frecuencia,Z/Cp/Cs,Tetha/Rp/D,
2.00E+01,9.76E+02,-3.17E+01,
2.11E+01,9.54E+02,-3.17E+01,
2.23E+01,9.34E+02,-3.17E+01,
2.35E+01,9.16E+02,-3.16E+01,
2.48E+01,8.98E+02,-3.14E+01,
2.62E+01,8.82E+02,-3.11E+01,
2.77E+01,8.66E+02,-3.08E+01,
2.92E+01,8.50E+02,-3.05E+01,
3.08E+01,8.36E+02,-3.01E+01,
3.26E+01,8.22E+02,-2.97E+01,
3.44E+01,8.09E+02,-2.93E+01,
3.63E+01,7.96E+02,-2.90E+01,
3.83E+01,7.83E+02,-2.86E+01,
4.04E+01,7.71E+02,-2.82E+01,
4.27E+01,7.59E+02,-2.78E+01,
4.50E+01,7.48E+02,-2.74E+01,
4.75E+01,7.37E+02,-2.69E+01,
5.02E+01,7.26E+02,-2.65E+01,
5.30E+01,7.16E+02,-2.60E+01,
5.59E+01,7.06E+02,-2.56E+01,
5.90E+01,6.97E+02,-2.51E+01,
6.23E+01,6.88E+02,-2.47E+01,
6.58E+01,6.80E+02,-2.42E+01,
6.94E+01,6.71E+02,-2.38E+01,
7.33E+01,6.63E+02,-2.33E+01,
7.73E+01,6.56E+02,-2.28E+01,
8.16E+01,6.48E+02,-2.24E+01,
8.62E+01,6.41E+02,-2.19E+01,
9.10E+01,6.34E+02,-2.14E+01,
9.60E+01,6.28E+02,-2.09E+01,
1.01E+02,6.21E+02,-2.04E+01,
1.07E+02,6.15E+02,-1.99E+01,
1.13E+02,6.10E+02,-1.95E+01,
1.19E+02,6.04E+02,-1.90E+01,
1.26E+02,5.99E+02,-1.85E+01,
1.33E+02,5.94E+02,-1.80E+01,
1.40E+02,5.89E+02,-1.75E+01,
1.48E+02,5.84E+02,-1.71E+01,
1.56E+02,5.80E+02,-1.66E+01,
1.65E+02,5.75E+02,-1.61E+01,
1.74E+02,5.71E+02,-1.57E+01,
1.84E+02,5.67E+02,-1.52E+01,
1.94E+02,5.63E+02,-1.48E+01,
2.05E+02,5.60E+02,-1.43E+01,
2.16E+02,5.56E+02,-1.39E+01,
2.28E+02,5.53E+02,-1.35E+01,
2.41E+02,5.50E+02,-1.30E+01,
2.54E+02,5.47E+02,-1.26E+01,
2.68E+02,5.44E+02,-1.22E+01,
2.83E+02,5.41E+02,-1.18E+01,
2.99E+02,5.39E+02,-1.14E+01,
3.16E+02,5.36E+02,-1.10E+01,
3.33E+02,5.34E+02,-1.07E+01,
3.52E+02,5.32E+02,-1.03E+01,
3.71E+02,5.30E+02,-9.93E+00,
3.92E+02,5.27E+02,-9.58E+00,
4.14E+02,5.25E+02,-9.24E+00,
4.37E+02,5.23E+02,-8.91E+00,
4.61E+02,5.21E+02,-8.58E+00,
4.87E+02,5.20E+02,-8.26E+00,
5.14E+02,5.18E+02,-7.95E+00,
5.42E+02,5.17E+02,-7.65E+00,
5.72E+02,5.15E+02,-7.36E+00,
6.04E+02,5.14E+02,-7.08E+00,
6.38E+02,5.13E+02,-6.80E+00,
6.73E+02,5.11E+02,-6.54E+00,
7.11E+02,5.10E+02,-6.28E+00,
7.50E+02,5.10E+02,-6.03E+00,
7.92E+02,5.09E+02,-5.79E+00,
8.36E+02,5.07E+02,-5.56E+00,
8.82E+02,5.06E+02,-5.34E+00,
9.32E+02,5.05E+02,-5.13E+00,
9.83E+02,5.04E+02,-4.92E+00,
1.04E+03,5.03E+02,-4.72E+00,
1.10E+03,5.02E+02,-4.52E+00,
1.16E+03,5.02E+02,-4.34E+00,
1.22E+03,5.01E+02,-4.16E+00,
1.29E+03,5.01E+02,-3.99E+00,
1.36E+03,5.00E+02,-3.83E+00,
1.44E+03,4.99E+02,-3.67E+00,
1.52E+03,4.98E+02,-3.52E+00,
1.60E+03,4.98E+02,-3.37E+00,
1.69E+03,4.97E+02,-3.23E+00,
1.78E+03,4.97E+02,-3.10E+00,
1.88E+03,4.97E+02,-2.97E+00,
1.99E+03,4.96E+02,-2.85E+00,
2.10E+03,4.96E+02,-2.73E+00,
2.21E+03,4.96E+02,-2.61E+00,
2.34E+03,4.96E+02,-2.51E+00,
2.47E+03,4.95E+02,-2.40E+00,
2.60E+03,4.95E+02,-2.30E+00,
2.75E+03,4.95E+02,-2.21E+00,
2.90E+03,4.94E+02,-2.12E+00,
3.06E+03,4.94E+02,-2.03E+00,
3.23E+03,4.94E+02,-1.95E+00,
3.41E+03,4.94E+02,-1.87E+00,
3.60E+03,4.93E+02,-1.80E+00,
3.80E+03,4.93E+02,-1.73E+00,
4.01E+03,4.93E+02,-1.66E+00,
4.24E+03,4.93E+02,-1.59E+00,
4.47E+03,4.93E+02,-1.53E+00,
4.72E+03,4.93E+02,-1.48E+00,
4.98E+03,4.93E+02,-1.42E+00,
5.26E+03,4.93E+02,-1.37E+00,
5.55E+03,4.93E+02,-1.32E+00,
5.86E+03,4.93E+02,-1.27E+00,
6.19E+03,4.93E+02,-1.23E+00,
6.53E+03,4.93E+02,-1.18E+00,
6.89E+03,4.92E+02,-1.14E+00,
7.28E+03,4.92E+02,-1.11E+00,
7.68E+03,4.92E+02,-1.07E+00,
8.11E+03,4.92E+02,-1.04E+00,
8.56E+03,4.92E+02,-1.01E+00,
9.04E+03,4.92E+02,-9.81E-01,
9.54E+03,4.92E+02,-9.54E-01,
1.01E+04,4.92E+02,-9.29E-01,
1.06E+04,4.91E+02,-9.07E-01,
1.12E+04,4.91E+02,-8.86E-01,
1.18E+04,4.91E+02,-8.67E-01,
1.25E+04,4.91E+02,-8.50E-01,
1.32E+04,4.91E+02,-8.34E-01,
1.39E+04,4.91E+02,-8.21E-01,
1.47E+04,4.91E+02,-8.08E-01,
1.55E+04,4.91E+02,-7.98E-01,
1.64E+04,4.91E+02,-7.88E-01,
1.73E+04,4.91E+02,-7.81E-01,
1.83E+04,4.91E+02,-7.75E-01,
1.93E+04,4.91E+02,-7.70E-01,
2.03E+04,4.91E+02,-7.67E-01,
2.15E+04,4.91E+02,-7.65E-01,
2.27E+04,4.91E+02,-7.65E-01,
2.39E+04,4.91E+02,-7.68E-01,
2.53E+04,4.90E+02,-7.70E-01,
2.67E+04,4.90E+02,-7.75E-01,
2.81E+04,4.90E+02,-7.81E-01,
2.97E+04,4.90E+02,-7.90E-01,
3.14E+04,4.90E+02,-8.00E-01,
3.31E+04,4.90E+02,-8.11E-01,
3.49E+04,4.90E+02,-8.23E-01,
3.69E+04,4.90E+02,-8.37E-01,
3.89E+04,4.90E+02,-8.54E-01,
4.11E+04,4.90E+02,-8.71E-01,
4.34E+04,4.90E+02,-8.91E-01,
4.58E+04,4.90E+02,-9.13E-01,
4.83E+04,4.90E+02,-9.36E-01,
5.10E+04,4.90E+02,-9.61E-01,
5.39E+04,4.90E+02,-9.87E-01,
5.69E+04,4.90E+02,-1.02E+00,
6.00E+04,4.90E+02,-1.05E+00,
6.34E+04,4.90E+02,-1.08E+00,
6.69E+04,4.89E+02,-1.12E+00,
7.06E+04,4.90E+02,-1.15E+00,
7.45E+04,4.90E+02,-1.19E+00,
7.87E+04,4.89E+02,-1.24E+00,
8.30E+04,4.89E+02,-1.28E+00,
8.77E+04,4.89E+02,-1.33E+00,
9.25E+04,4.89E+02,-1.38E+00,
9.77E+04,4.89E+02,-1.43E+00,
1.03E+05,4.89E+02,-1.49E+00,
1.09E+05,4.89E+02,-1.55E+00,
1.15E+05,4.89E+02,-1.61E+00,
1.21E+05,4.89E+02,-1.68E+00,
1.28E+05,4.89E+02,-1.75E+00,
1.35E+05,4.88E+02,-1.82E+00,
1.43E+05,4.88E+02,-1.89E+00,
1.51E+05,4.88E+02,-1.98E+00,
1.59E+05,4.88E+02,-2.06E+00,
1.68E+05,4.87E+02,-2.15E+00,
1.77E+05,4.87E+02,-2.24E+00,
1.87E+05,4.87E+02,-2.34E+00,
